Estimate,id
896,1
906,2
912,3
923,4
929,5
934,6
936,7
955,8
957,9
962,10
972,11
973,12
982,13
987,14
1000,15
1004,16
1005,17
1009,18
1023,19
1028,20
1028,21
1031,22
1038,23
1040,24
1051,25
1052,26
1052,27
1054,28
1056,29
1059,30
1064,31
1065,32
1066,33
1070,34
1071,35
1074,36
1074,37
1074,38
1074,39
1078,40
1079,41
1080,42
1081,43
1081,44
1081,45
1085,46
1087,47
1088,48
1088,49
1088,50
1089,51
1091,52
1091,53
1092,54
1092,55
1093,56
1093,57
1094,58
1096,59
1096,60
1096,61
1096,62
1096,63
1097,64
1098,65
1098,66
1098,67
1099,68
1099,69
1101,70
1106,71
1106,72
1107,73
1108,74
1108,75
1108,76
1108,77
1109,78
1109,79
1109,80
1109,81
1110,82
1110,83
1111,84
1112,85
1112,86
1113,87
1113,88
1114,89
1115,90
1115,91
1116,92
1116,93
1117,94
1117,95
1117,96
1118,97
1118,98
1118,99
1118,100
1118,101
1119,102
1119,103
1119,104
1119,105
1119,106
1120,107
1121,108
1122,109
1122,110
1123,111
1123,112
1123,113
1123,114
1124,115
1125,116
1126,117
1126,118
1127,119
1127,120
1129,121
1131,122
1131,123
1131,124
1132,125
1132,126
1132,127
1132,128
1132,129
1133,130
1133,131
1134,132
1134,133
1134,134
1135,135
1135,136
1137,137
1138,138
1139,139
1140,140
1140,141
1140,142
1141,143
1141,144
1141,145
1142,146
1144,147
1144,148
1145,149
1146,150
1146,151
1146,152
1147,153
1148,154
1148,155
1148,156
1149,157
1150,158
1150,159
1151,160
1151,161
1151,162
1152,163
1152,164
1152,165
1153,166
1153,167
1153,168
1154,169
1154,170
1154,171
1154,172
1154,173
1155,174
1155,175
1155,176
1155,177
1155,178
1155,179
1155,180
1155,181
1155,182
1157,183
1157,184
1158,185
1158,186
1158,187
1159,188
1160,189
1160,190
1160,191
1160,192
1161,193
1162,194
1162,195
1162,196
1162,197
1163,198
1163,199
1163,200
1163,201
1163,202
1163,203
1163,204
1164,205
1164,206
1164,207
1164,208
1165,209
1165,210
1165,211
1165,212
1166,213
1167,214
1167,215
1167,216
1168,217
1168,218
1168,219
1168,220
1168,221
1168,222
1169,223
1169,224
1169,225
1169,226
1169,227
1171,228
1171,229
1171,230
1172,231
1172,232
1172,233
1173,234
1174,235
1174,236
1174,237
1174,238
1174,239
1174,240
1175,241
1175,242
1175,243
1175,244
1176,245
1176,246
1176,247
1176,248
1176,249
1177,250
1177,251
1177,252
1177,253
1177,254
1178,255
1178,256
1178,257
1178,258
1178,259
1178,260
1179,261
1179,262
1179,263
1179,264
1179,265
1180,266
1180,267
1180,268
1180,269
1180,270
1181,271
1181,272
1181,273
1181,274
1181,275
1181,276
1181,277
1181,278
1181,279
1182,280
1182,281
1182,282
1182,283
1182,284
1182,285
1182,286
1183,287
1183,288
1183,289
1183,290
1183,291
1183,292
1184,293
1184,294
1184,295
1185,296
1185,297
1185,298
1186,299
1186,300
1186,301
1186,302
1186,303
1186,304
1186,305
1186,306
1187,307
1187,308
1187,309
1187,310
1187,311
1188,312
1188,313
1188,314
1189,315
1189,316
1189,317
1189,318
1189,319
1189,320
1189,321
1189,322
1190,323
1190,324
1190,325
1190,326
1190,327
1190,328
1190,329
1190,330
1191,331
1191,332
1191,333
1191,334
1192,335
1192,336
1192,337
1192,338
1192,339
1193,340
1193,341
1193,342
1193,343
1193,344
1193,345
1193,346
1193,347
1193,348
1194,349
1194,350
1195,351
1195,352
1197,353
1199,354
1199,355
1200,356
1201,357
1201,358
1201,359
1201,360
1202,361
1202,362
1202,363
1202,364
1203,365
1203,366
1203,367
1203,368
1203,369
1203,370
1203,371
1203,372
1204,373
1204,374
1204,375
1205,376
1205,377
1205,378
1205,379
1205,380
1205,381
1205,382
1205,383
1205,384
1206,385
1206,386
1206,387
1206,388
1206,389
1206,390
1207,391
1207,392
1207,393
1208,394
1208,395
1208,396
1208,397
1208,398
1208,399
1208,400
1208,401
1208,402
1208,403
1208,404
1209,405
1209,406
1209,407
1209,408
1209,409
1209,410
1209,411
1209,412
1209,413
1210,414
1210,415
1210,416
1211,417
1211,418
1211,419
1211,420
1211,421
1211,422
1211,423
1211,424
1211,425
1211,426
1211,427
1212,428
1212,429
1212,430
1212,431
1214,432
1214,433
1214,434
1214,435
1214,436
1214,437
1214,438
1214,439
1215,440
1215,441
1215,442
1215,443
1215,444
1215,445
1216,446
1216,447
1216,448
